Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
24,106,1032,668,9,4.0,4.0,2,1,2,1,0,6,5,114,26,5,5.0,182,1,40,2,0,104,138,0,0,343,16,0,0,6,3,5.0,4,4,4,7,0,37,1,1,1,3,1,0,0,1,1,1,2.0,1,0,2,17.67
33,222,713,567,128,3.0,4.0,2,1,0,1,0,10,5,129,41,7,5.0,176,1,41,2,0,104,136,0,1,318,340,1,1,1,2,7.0,4,0,6,7,3,126,0,1,1,0,1,0,2,1,1,1,2.0,0,0,2,17.4
33,222,717,647,128,3.0,4.0,2,1,0,1,0,10,5,129,41,7,5.0,176,1,41,2,0,104,136,0,1,318,340,1,1,1,2,7.0,4,0,7,7,3,126,1,1,1,0,1,0,2,1,1,1,2.0,1,0,2,17.51
33,222,721,714,128,3.0,4.0,2,1,0,1,0,10,5,129,41,7,5.0,176,1,41,2,0,104,136,0,0,318,340,1,3,1,2,7.0,4,0,7,7,3,126,1,1,1,1,1,0,2,1,1,1,2.0,1,0,2,17.36
33,222,727,761,128,3.0,4.0,2,1,0,1,0,10,5,129,41,7,5.0,176,1,41,2,0,104,136,0,0,318,340,1,1,1,2,7.0,4,4,7,7,3,126,1,1,1,0,1,0,2,1,1,1,4.0,1,0,2,17.58
32,190,544,599,4,4.0,4.0,2,1,2,0,0,16,5,161,9,9,5.0,87,1,51,2,0,108,12,4,1,326,4,1,0,0,3,5.0,4,4,6,7,3,89,1,1,1,0,1,0,0,0,1,1,3.777288732394366,0,0,2,18.3
32,190,504,653,22,4.0,4.0,2,1,2,0,0,16,2,161,9,9,5.0,87,1,51,1,0,108,12,3,1,296,46,1,0,6,3,5.0,4,4,6,7,0,89,0,1,1,1,0,0,2,0,0,0,3.777288732394366,0,0,2,17.32
32,190,529,771,4,4.0,4.0,2,1,2,0,0,16,5,161,9,9,5.0,87,1,51,2,0,108,12,4,1,326,4,1,0,0,3,5.0,4,4,3,7,3,89,1,1,1,0,1,0,0,0,1,1,3.777288732394366,0,0,2,18.1
32,190,464,712,22,4.0,4.0,2,1,2,0,0,16,2,161,9,9,5.0,87,1,51,2,0,108,12,4,1,296,45,1,0,0,3,5.0,4,4,6,7,3,89,1,1,1,0,1,0,0,0,1,1,3.777288732394366,0,0,2,17.14
32,190,623,860,22,4.0,4.0,2,1,2,0,0,16,2,161,9,9,5.0,87,1,51,2,0,108,12,4,1,296,45,1,0,0,3,5.0,4,4,3,7,3,89,1,1,1,0,1,0,0,0,1,1,3.777288732394366,0,0,2,16.86
